candle_end_time,open,high,low,close,amount,info
2005-04-08,984.660,1003.700,979.530,1003.450,14762500.000,
2005-04-11,1003.880,1008.730,992.770,995.420,15936100.000,
2005-04-12,993.710,993.710,978.200,978.700,10226200.000,
2005-04-13,987.950,1006.500,987.950,1000.900,16071700.000,
2005-04-14,1004.640,1006.420,985.580,986.970,12945700.000,
2005-04-15,982.610,982.610,971.930,974.080,10409000.000,
2005-04-18,970.910,970.910,958.650,963.770,8598400.000,
2005-04-19,962.920,968.870,957.910,965.890,9212620.000,
2005-04-20,964.150,964.150,946.200,950.870,8850700.000,
2005-04-21,948.860,955.550,938.590,943.980,9946150.000,
2005-04-22,942.910,947.910,934.960,939.100,10691900.000,
2005-04-25,935.990,935.990,920.160,930.070,11470500.000,
2005-04-26,928.430,939.700,924.660,937.080,11690500.000,
2005-04-27,938.570,938.910,925.900,926.600,10780600.000,
2005-04-28,923.530,945.500,914.830,942.070,14343500.000,
2005-04-29,940.810,942.450,929.810,932.400,11235400.000,
2005-05-09,934.650,937.390,909.170,909.170,8529110.000,
2005-05-10,905.540,913.390,892.310,913.080,10494300.000,
2005-05-11,911.840,917.220,900.440,901.850,9042050.000,
2005-05-12,899.970,900.060,883.510,885.820,10228700.000,
2005-05-13,883.510,898.510,875.580,887.540,11244900.000,
2005-05-16,885.390,885.390,869.330,875.270,8224289.000,
2005-05-17,873.080,888.280,868.210,881.460,8772270.000,
2005-05-18,881.140,890.400,871.820,883.200,7878610.000,
2005-05-19,882.840,888.020,871.290,884.170,8149579.000,
2005-05-20,883.510,891.020,879.180,882.760,7226679.000,
2005-05-23,880.280,880.280,862.100,863.340,7279800.000,
2005-05-24,861.200,871.770,855.590,868.460,9206929.000,
2005-05-25,867.660,876.300,861.660,868.450,7238560.000,
2005-05-26,867.760,872.840,854.960,857.330,6622789.000,
2005-05-27,855.590,864.960,848.400,849.510,7749979.000,
2005-05-30,847.630,858.460,842.100,855.610,6971579.000,
2005-05-31,856.560,863.200,853.290,855.950,7047820.000,
2005-06-01,855.210,857.660,836.040,837.530,7902300.000,
2005-06-02,835.470,835.490,812.990,818.380,9508660.000,
2005-06-03,816.550,823.860,807.970,818.030,7936060.000,
2005-06-06,816.730,839.150,807.780,839.000,9009189.000,
2005-06-07,841.580,858.090,835.180,837.280,13067100.000,
2005-06-08,848.540,908.830,844.470,905.770,32907800.000,
2005-06-09,907.570,925.360,895.040,912.600,33141800.000,
2005-06-10,911.940,911.940,889.100,894.560,22391500.000,
2005-06-13,895.000,900.180,877.690,892.960,15628000.000,
2005-06-14,895.390,905.410,882.860,883.540,14343600.000,
2005-06-15,881.210,881.250,865.140,866.830,11454100.000,
2005-06-16,866.660,879.490,861.830,879.240,11049700.000,
2005-06-17,883.600,888.080,876.040,880.340,14963000.000,
2005-06-20,881.620,906.480,872.560,906.260,18992100.000,
2005-06-21,906.310,906.310,894.390,896.170,12774800.000,
2005-06-22,894.770,901.240,891.930,900.650,10478100.000,
2005-06-23,900.060,904.900,892.830,893.570,9509310.000,
2005-06-24,892.060,898.670,888.400,898.300,8918739.000,
2005-06-27,904.210,920.650,904.210,916.040,16545400.000,
2005-06-28,913.480,913.480,901.210,903.720,10402200.000,
2005-06-29,906.750,907.570,898.080,898.900,10806700.000,
2005-06-30,897.100,897.100,876.880,878.690,10855500.000,
2005-07-01,875.930,875.930,858.370,859.490,10094600.000,
2005-07-04,855.320,856.100,842.810,855.930,8840279.000,
2005-07-05,853.680,856.740,845.360,849.680,7992689.000,
2005-07-06,850.250,854.450,838.610,842.560,6898310.000,
2005-07-07,841.750,848.020,839.280,844.730,5962460.000,
2005-07-08,842.620,842.620,827.230,829.490,7221000.000,
2005-07-11,837.860,850.660,822.520,824.100,8439010.000,
2005-07-12,821.910,854.290,818.860,851.820,14989900.000,
2005-07-13,850.470,851.950,841.860,846.230,9398839.000,
2005-07-14,844.940,856.090,843.180,849.590,9361970.000,
2005-07-15,849.870,854.600,837.780,841.000,8889560.000,
2005-07-18,839.220,840.010,829.680,832.990,8500000.000,
2005-07-19,831.500,840.140,829.280,835.610,7891820.000,
2005-07-20,835.300,844.710,832.140,842.640,8526470.000,
2005-07-21,842.750,843.990,835.760,843.990,8366100.000,
2005-07-22,847.540,867.160,842.990,859.460,21451400.000,
2005-07-25,858.330,860.950,854.280,856.860,11816100.000,
2005-07-26,856.190,880.030,856.190,876.480,21826800.000,
2005-07-27,876.940,894.030,876.040,894.010,20409500.000,
2005-07-28,893.880,901.000,888.500,890.890,20622500.000,
2005-07-29,889.410,892.290,883.380,888.160,13397400.000,
2005-08-01,887.720,897.280,885.850,891.610,11808300.000,
2005-08-02,892.130,903.650,888.400,903.600,14292500.000,
2005-08-03,905.180,919.280,903.760,909.570,25786300.000,
2005-08-04,907.420,909.830,901.620,904.150,14519300.000,
2005-08-05,904.040,923.810,903.940,923.800,19123800.000,
2005-08-08,926.570,933.150,923.570,927.470,21608900.000,
2005-08-09,926.970,933.390,919.110,933.090,19532900.000,
2005-08-10,933.260,940.370,926.280,940.370,21515800.000,
2005-08-11,940.780,953.990,939.390,953.990,27073700.000,
2005-08-12,954.720,959.270,933.980,938.320,29168100.000,
2005-08-15,937.710,954.500,936.110,954.500,20430800.000,
2005-08-16,955.270,959.340,939.920,945.060,23861800.000,
2005-08-17,943.410,953.340,930.330,953.010,21457800.000,
2005-08-18,954.160,956.840,919.120,920.670,31855300.000,
2005-08-19,918.090,927.320,910.080,923.040,22242700.000,
2005-08-22,923.110,933.350,919.220,931.670,16031000.000,
2005-08-23,931.810,931.810,915.030,923.410,15406500.000,
2005-08-24,923.560,935.230,923.560,930.650,15959700.000,
2005-08-25,930.970,933.200,920.610,930.120,16292100.000,
2005-08-26,930.250,930.330,921.840,928.260,15429800.000,
