Date,平安银行,万科A,格力电器,华东医药,东方雨虹,宇通客车
2011-01-04,5.491,7.418,7.004,15.301,9.705,5.859
2011-01-05,5.46,7.444,6.934,16.316,9.945,5.748
2011-01-06,5.419,7.452,6.957,16.175,10.017,6.224
2011-01-07,5.624,7.494,6.823,15.583,9.664,6.305
2011-01-10,5.477,7.368,6.726,15.037,9.462,6.299
2011-01-11,5.549,7.612,6.63,14.671,9.243,6.238
2011-01-12,5.621,7.646,6.607,14.435,9.421,6.325
2011-01-13,5.6,7.536,6.657,15.155,9.243,6.389
2011-01-14,5.481,7.629,6.603,15.446,9.328,6.358
2011-01-17,5.271,7.098,6.318,14.482,8.759,6.024
2011-01-18,5.258,7.039,6.264,14.482,8.797,5.951
2011-01-19,5.309,7.199,6.395,14.661,9.121,6.361
2011-01-20,5.114,6.862,6.221,14.68,8.69,6.205
2011-01-21,5.193,7.064,6.248,14.045,8.781,6.297
2011-01-24,5.158,7.123,6.225,12.841,8.547,6.213
2011-01-25,5.199,7.157,6.348,13.072,8.247,6.093
2011-01-26,5.23,7.174,6.456,13.387,8.428,6.093
2011-01-27,5.254,6.997,6.576,13.471,8.719,6.517
2011-01-28,5.21,6.963,6.611,14.177,8.707,6.756
2011-01-31,5.247,6.913,6.641,14.224,8.873,6.974
2011-02-01,5.292,6.896,6.568,14.426,8.802,6.963
2011-02-09,5.227,6.761,6.691,14.525,8.957,6.873
2011-02-10,5.295,6.896,7.073,14.661,9.083,7.213
2011-02-11,5.313,6.963,7.089,15.042,9.023,7.169
2011-02-14,5.484,7.25,7.324,14.812,9.083,7.213
2011-02-15,5.422,7.233,7.354,14.544,9.054,7.266
2011-02-16,5.443,7.191,7.428,14.487,9.064,7.458
2011-02-17,5.477,7.056,7.324,14.332,9.529,7.411
2011-02-18,5.477,7.039,7.135,14.398,9.529,7.322
2011-02-21,5.474,7.081,7.586,14.398,9.564,7.38
2011-02-22,5.302,6.845,7.528,14.059,9.162,7.185
2011-02-23,5.34,6.87,7.466,14.506,9.124,7.244
2011-02-24,5.333,6.887,7.566,14.243,9.362,7.06
2011-02-25,5.446,6.854,7.759,13.975,9.417,7.088
2011-02-28,5.46,6.879,8.175,13.913,9.328,7.431
2011-03-01,5.498,6.997,8.118,14.036,9.171,7.35
2011-03-02,5.546,6.913,8.268,14.341,9.143,7.33
2011-03-03,5.621,6.904,7.971,13.923,8.845,7.305
2011-03-04,5.717,7.031,8.326,13.622,8.785,7.414
2011-03-07,5.738,7.064,8.707,13.631,8.971,7.447
2011-03-08,5.707,7.191,8.742,13.476,9.026,7.573
2011-03-09,5.72,7.191,8.653,13.838,9.04,7.601
2011-03-10,5.57,7.166,8.573,14.111,9.088,7.336
2011-03-11,5.501,7.022,8.472,14.04,9.266,7.205
2011-03-14,5.542,6.997,8.499,14.482,9.367,7.041
2011-03-15,5.429,6.896,8.249,14.341,9.043,7.155
2011-03-16,5.467,6.955,8.364,14.106,9.09,7.093
2011-03-17,5.385,6.896,8.137,14.102,8.807,6.904
2011-03-18,5.426,6.913,8.26,13.683,8.921,6.937
2011-03-21,5.405,6.997,8.307,13.448,9.131,7.01
2011-03-22,5.487,6.997,8.307,13.297,9.109,7.038
2011-03-23,5.518,7.166,8.65,13.297,9.109,7.085
2011-03-24,5.477,7.157,8.68,13.547,9.028,7.066
2011-03-25,5.573,7.351,9.235,13.26,9.019,7.216
2011-03-28,5.597,7.359,9.278,13.062,8.873,7.105
2011-03-29,5.655,7.317,8.943,12.653,8.719,6.848
2011-03-30,5.614,7.326,8.962,12.531,8.48,6.773
2011-03-31,5.511,7.326,8.734,12.366,8.521,6.807
2011-04-01,5.679,7.435,8.796,12.437,8.521,6.715
2011-04-06,5.827,7.536,8.684,12.178,8.442,6.715
2011-04-07,5.895,7.714,9.108,12.512,8.538,6.559
2011-04-08,5.885,7.714,9.174,12.931,8.666,6.701
2011-04-11,5.837,7.435,8.831,12.935,8.533,6.483
2011-04-12,5.847,7.461,8.75,12.733,8.402,6.464
2011-04-13,6.187,7.528,9.02,12.978,8.421,6.595
2011-04-14,6.235,7.418,8.827,12.813,8.333,6.653
2011-04-15,6.42,7.503,8.692,12.696,8.566,6.514
2011-04-18,6.468,7.553,8.584,12.461,8.59,6.614
2011-04-19,6.317,7.402,8.503,12.479,8.354,6.547
2011-04-20,6.193,7.275,8.53,13.316,8.38,6.667
2011-04-21,6.211,7.317,8.534,13.415,8.33,6.715
2011-04-22,6.121,7.208,8.777,13.166,8.409,6.572
2011-04-25,6.197,7.182,8.619,13.297,8.44,6.469
2011-04-26,6.313,7.208,8.418,13.006,8.121,6.547
2011-04-27,6.265,7.081,8.357,12.362,7.985,6.352
2011-04-28,6.382,7.005,8.245,11.746,7.366,6.16
2011-04-29,6.238,7.149,8.472,11.943,7.606,6.277
2011-05-03,6.245,7.166,8.588,12.357,7.587,6.336
2011-05-04,6.121,7.022,8.364,12.272,7.454,6.141
2011-05-05,6.077,7.039,8.407,12.696,7.525,6.116
2011-05-06,6.012,6.997,8.407,13.072,7.644,6.018
2011-05-09,6.012,7.005,8.804,13.062,7.718,5.951
2011-05-10,6.012,7.014,8.9,12.855,7.73,6.04
2011-05-11,6.012,6.989,8.862,12.696,8.123,5.999
2011-05-12,6.012,6.946,8.962,12.865,7.921,5.909
2011-05-13,6.056,7.005,8.923,12.865,7.956,5.979
2011-05-16,5.878,7.056,8.858,12.418,8.011,5.897
2011-05-17,6.121,7.081,8.796,12.075,7.999,5.925
2011-05-18,6.207,7.09,8.904,12.117,7.968,6.151
2011-05-19,6.145,6.963,8.788,12.409,7.98,6.095
2011-05-20,6.286,6.946,9.074,12.508,7.98,6.01
2011-05-23,6.135,6.769,8.661,12.272,7.706,5.903
2011-05-24,6.224,6.769,8.557,12.366,7.558,5.945
2011-05-25,6.224,6.634,8.391,11.755,7.568,5.971
2011-05-26,6.097,6.66,8.31,11.426,7.385,5.973
2011-05-27,6.032,6.745,8.283,11.139,7.082,5.925
2011-05-30,6.022,6.66,8.249,11.37,7.123,5.917
2011-05-31,6.053,6.694,8.378,11.661,7.201,6.061
2011-06-01,5.974,6.677,8.456,11.6,7.251,6.324
2011-06-02,5.724,6.591,8.327,11.304,7.123,6.236
2011-06-03,5.727,6.651,8.479,11.497,7.261,6.296
2011-06-07,5.775,6.668,8.565,11.638,7.358,6.197
2011-06-08,5.72,6.916,8.647,11.567,7.861,6.174
2011-06-09,5.672,6.745,8.358,11.473,7.663,6.002
2011-06-10,5.666,6.831,8.214,11.379,7.725,6.081
2011-06-13,5.59,6.745,8.214,11.318,7.552,6.129
2011-06-14,5.659,6.976,8.538,11.356,7.706,6.143
2011-06-15,5.573,6.89,8.378,11.346,7.591,6.036
2011-06-16,5.474,6.822,8.3,11.229,7.874,5.968
2011-06-17,5.446,6.873,8.307,11.214,7.711,5.843
2011-06-20,5.491,6.984,8.303,11.102,7.538,5.824
2011-06-21,5.58,7.061,8.64,10.984,7.754,6.05
2011-06-22,5.573,7.018,8.761,10.716,7.653,5.954
2011-06-23,5.69,7.061,8.89,10.782,7.84,6.112
2011-06-24,5.823,7.155,9.101,11.163,8.081,6.411
2011-06-27,5.858,7.078,9.07,11.285,8.081,6.493
2011-06-28,5.84,7.095,9.093,11.125,8.244,6.411
2011-06-29,5.7,7.07,9.046,11.261,8.013,6.454
2011-06-30,5.851,7.215,9.187,11.412,8.085,6.539
2011-07-01,5.803,7.411,9.183,11.544,8.033,6.431
2011-07-04,6.015,7.437,9.304,11.614,8.153,6.694
2011-07-05,5.964,7.548,9.183,11.849,8.268,6.75
2011-07-06,5.909,7.531,9.058,11.708,8.177,6.748
2011-07-07,5.926,7.488,9.019,12.023,8.1,6.657
2011-07-08,6.005,7.531,9.148,11.887,8.047,6.567
2011-07-11,5.964,7.471,9.179,12.155,8.085,6.62
2011-07-12,5.827,7.257,9.21,12.371,7.898,6.572
2011-07-13,6.012,7.351,9.539,12.371,7.98,6.64
2011-07-14,6.025,7.326,9.441,12.103,8.076,6.615
2011-07-15,6.166,7.198,9.328,12.672,8.215,6.567
2011-07-18,6.149,7.138,9.328,12.757,8.167,6.567
2011-07-19,6.012,7.249,8.937,12.517,8.061,6.352
2011-07-20,6.012,7.232,8.937,12.343,7.941,6.358
2011-07-21,5.888,7.172,8.933,12.366,7.922,6.296
2011-07-22,5.899,7.189,9.222,12.696,7.927,6.279
2011-07-25,5.782,6.95,8.952,12.512,7.471,6.166
2011-07-26,5.906,7.001,8.952,12.602,7.394,6.346
2011-07-27,5.888,6.95,9.285,12.729,7.485,6.327
2011-07-28,5.775,6.924,9.3,12.555,7.447,6.264
2011-07-29,5.943,6.959,9.058,12.39,7.36,6.284
2011-08-01,5.895,7.078,8.991,12.211,7.356,6.375
2011-08-02,5.827,7.061,8.952,12.301,7.471,6.304
2011-08-03,5.779,7.129,8.796,12.272,7.567,6.468
2011-08-04,5.789,7.095,8.796,12.456,7.552,6.428
2011-08-05,5.587,6.984,8.62,12.879,7.452,6.547
2011-08-08,5.484,6.882,8.307,12.832,7.063,6.318
2011-08-09,5.494,7.087,8.432,13.081,6.827,6.267
2011-08-10,5.515,7.206,8.542,12.874,6.818,6.312
2011-08-11,5.631,7.3,8.687,13.152,6.823,6.366
2011-08-12,5.703,7.198,8.62,12.992,6.923,6.315
2011-08-15,5.871,7.257,8.601,13.495,6.923,6.267
2011-08-16,5.844,7.138,8.601,13.321,7.226,6.188
2011-08-17,5.844,7.018,8.515,13.166,7.139,6.185
2011-08-18,5.734,6.95,8.206,12.968,7.0,5.988
2011-08-19,5.69,6.95,8.053,12.992,6.914,5.979
2011-08-22,5.628,6.899,7.866,12.719,6.89,5.843
2011-08-23,5.703,7.018,7.979,12.724,7.039,5.866
2011-08-24,5.618,6.967,8.014,12.733,6.995,5.835
2011-08-25,5.943,7.206,8.335,12.78,7.072,6.036
2011-08-26,5.957,7.155,8.323,12.771,7.207,5.965
2011-08-29,5.731,6.976,8.034,13.029,7.25,5.959
2011-08-30,5.717,6.95,8.034,13.105,7.115,5.962
2011-08-31,5.775,6.959,8.182,13.119,7.077,5.877
2011-09-01,5.803,6.95,8.19,13.307,6.995,5.824
2011-09-02,5.803,6.916,8.131,12.968,7.024,5.736
2011-09-05,5.638,6.856,7.877,12.686,6.914,5.617
2011-09-06,5.607,6.831,7.576,12.569,6.741,5.504
2011-09-07,5.71,6.933,7.733,12.743,6.89,5.575
2011-09-08,5.679,6.916,7.741,12.639,6.827,5.504
2011-09-09,5.648,6.899,7.737,12.912,6.755,5.552
2011-09-13,5.662,6.89,7.651,12.625,6.698,5.547
2011-09-14,5.628,6.899,7.662,12.86,6.842,5.643
2011-09-15,5.676,6.907,7.678,12.757,6.794,5.654
2011-09-16,5.827,6.882,7.678,12.616,6.871,5.617
2011-09-19,5.69,6.643,7.557,12.366,6.568,5.502
2011-09-20,5.738,6.591,7.486,12.296,6.659,5.657
2011-09-21,5.847,6.72,7.741,12.536,6.851,5.781
2011-09-22,5.724,6.369,7.662,12.409,6.65,5.812
2011-09-23,5.696,6.318,7.658,12.338,6.434,5.753
2011-09-26,5.498,6.105,7.561,12.145,6.299,5.702
2011-09-27,5.542,6.122,7.799,12.235,6.299,5.812
2011-09-28,5.484,6.045,7.85,12.272,6.213,5.736
2011-09-29,5.498,6.13,7.721,11.849,5.853,5.685
2011-09-30,5.498,6.182,7.815,11.877,5.882,5.564
2011-10-10,5.313,5.977,7.713,11.656,5.877,5.564
2011-10-11,5.364,6.011,7.408,11.652,5.81,5.468
2011-10-12,5.607,6.267,7.584,11.957,5.982,5.583
2011-10-13,5.604,6.293,7.608,12.225,6.006,5.603
2011-10-14,5.607,6.276,7.608,12.225,5.982,5.606
2011-10-17,5.669,6.267,7.819,12.334,5.944,5.719
2011-10-18,5.491,6.139,7.647,12.437,5.689,5.49
2011-10-19,5.505,6.062,7.459,12.437,5.641,5.479
2011-10-20,5.415,5.994,7.154,11.755,5.358,5.233
2011-10-21,5.494,5.96,6.998,11.656,5.075,5.242
2011-10-24,5.666,6.139,7.275,12.174,5.017,5.377
2011-10-25,5.703,6.318,7.439,12.343,5.185,5.634
2011-10-26,5.741,6.54,7.686,12.282,5.704,5.852
2011-10-27,5.731,6.549,7.694,12.202,5.613,5.88
2011-10-28,5.837,6.754,7.768,12.456,5.728,5.948
2011-10-31,5.786,6.831,7.721,12.884,6.232,5.979
2011-11-01,5.775,6.626,7.584,12.954,6.463,5.999
2011-11-02,5.868,6.745,7.694,13.142,6.578,6.053
2011-11-03,5.786,6.626,7.862,13.504,6.443,6.075
2011-11-04,5.82,6.694,7.967,13.368,6.342,6.024
2011-11-07,5.731,6.557,7.815,13.241,6.342,6.027
2011-11-08,5.738,6.557,7.807,13.156,6.242,5.891
2011-11-09,5.806,6.549,7.838,13.307,6.866,6.013
2011-11-10,5.751,6.463,7.686,13.377,6.923,6.055
2011-11-11,5.679,6.421,7.58,13.25,7.096,6.007
2011-11-14,5.734,6.515,7.815,13.523,7.24,6.18
2011-11-15,5.645,6.446,7.662,13.678,7.091,6.157
2011-11-16,5.494,6.224,7.463,13.41,6.827,6.01
2011-11-17,5.477,6.233,7.428,13.307,6.923,6.123
2011-11-18,5.467,6.054,7.267,13.1,6.539,6.29
2011-11-21,5.467,6.054,7.033,13.025,6.65,6.425
